,K,Degree,Delta,F1,SS,Weights
1685,6,14,2.0,[0.539 0.584 0.496 0.487 0.346 0.373],-0.026304001673344266,[0.04212874 0.14875466 0.19251984 0.37314531 0.06015099 0.18330046]
1686,6,14,4.0,[0.235 0.261 0.529 0.442 0.234 0.187],-0.2340185483175871,[0.00320761 0.004      0.95333857 0.028      0.00586664 0.00558718]
1687,6,14,8.0,[0.294 0.261 0.522 0.432 0.167 0.135],-0.2460872754282961,[0.0032     0.004      0.95573333 0.02746667 0.00453333 0.00506667]
1688,6,15,0.0625,[0.521 0.453 0.34  0.434 0.337 0.34 ],0.34722482518302034,[0.28210779 0.1721184  0.12194297 0.18090059 0.11520982 0.12772042]
1689,6,15,0.125,[0.537 0.495 0.336 0.388 0.404 0.408],0.10892709264184956,[0.37011072 0.15159781 0.06705279 0.1157682  0.13565805 0.15981243]
1690,6,15,0.25,[0.492 0.453 0.364 0.362 0.486 0.362],0.22831067969157973,[0.4439352  0.12701745 0.09850654 0.08338286 0.13079054 0.11636741]
1691,6,15,0.5,[0.471 0.552 0.383 0.564 0.439 0.36 ],0.06273973235148243,[0.44770621 0.14973035 0.03421638 0.10923336 0.16234766 0.09676604]
1692,6,15,1.0,[0.357 0.481 0.359 0.505 0.487 0.403],0.001417238807534159,[0.40298862 0.08531463 0.12224359 0.12988319 0.14253414 0.11703584]
1693,6,15,2.0,[0.206 0.209 0.574 0.435 0.208 0.152],-0.20982311263166142,[0.00319999 0.00293333 0.94975072 0.03185378 0.00586546 0.00639672]
1694,6,15,4.0,[0.209 0.215 0.549 0.446 0.139 0.158],-0.23941582883892037,[0.00293333 0.00266667 0.95653386 0.02773334 0.00453333 0.00559947]
1695,6,15,8.0,[0.239 0.212 0.491 0.484 0.237 0.156],0.07565186390459076,[0.00293332 0.0032     0.15304034 0.82909305 0.00586667 0.00586662]
1696,6,16,0.0625,[0.562 0.438 0.34  0.431 0.33  0.377],0.351515018802618,[0.28985303 0.16896853 0.12990871 0.18375042 0.10472524 0.12279407]
1697,6,16,0.125,[0.521 0.45  0.316 0.369 0.384 0.462],-0.06307568975669965,[0.38170998 0.07728969 0.16868026 0.11060844 0.11934267 0.14236897]
1698,6,16,0.25,[0.483 0.491 0.4   0.4   0.504 0.349],0.20542994802028414,[0.41105219 0.11839841 0.11427498 0.09222694 0.12639286 0.13765462]
1699,6,16,0.5,[0.504 0.47  0.379 0.526 0.456 0.375],0.042615046550011505,[0.43102447 0.13723349 0.02518737 0.11504194 0.18168553 0.10982719]
1700,6,16,1.0,[0.357 0.554 0.393 0.526 0.5   0.379],-0.022251754002807902,[0.33808376 0.13926462 0.09586907 0.16126454 0.17689792 0.08862009]
1701,6,16,2.0,[0.32  0.528 0.488 0.466 0.225 0.378],0.04898877948659616,[0.00562922 0.06061376 0.1984396  0.66742208 0.00802555 0.05986978]
1702,6,16,4.0,[0.265 0.215 0.532 0.46  0.205 0.156],-0.2122847375041148,[0.00319999 0.00293333 0.95333016 0.02826995 0.0064     0.00586657]
1703,6,16,8.0,[0.215 0.242 0.514 0.446 0.247 0.135],-0.22323310430445156,[0.0024     0.0032     0.9568     0.028      0.00453333 0.00506667]
1704,6,17,0.0625,[0.496 0.404 0.358 0.453 0.327 0.369],0.2949695019271104,[0.26447204 0.16462688 0.12738142 0.19520065 0.10933709 0.13898192]
1705,6,17,0.125,[0.513 0.491 0.309 0.358 0.381 0.412],0.10514265239392337,[0.3201222  0.15399435 0.15955625 0.11820157 0.09722443 0.15090119]
1706,6,17,0.25,[0.471 0.463 0.425 0.385 0.47  0.422],0.18491847365809116,[0.41874505 0.1235929  0.11361742 0.08659546 0.14222232 0.11522685]
1707,6,17,0.5,[0.487 0.559 0.356 0.574 0.5   0.431],0.04317020132291238,[0.42075436 0.14272899 0.02587375 0.09927022 0.18242373 0.12894896]
1708,6,17,1.0,[0.414 0.526 0.359 0.479 0.496 0.396],-0.010995016371312538,[0.33468355 0.09287551 0.11678827 0.2486933  0.10639249 0.10056688]
1709,6,17,2.0,[0.274 0.306 0.456 0.516 0.22  0.195],0.1703931114849407,[0.00453299 0.00479717 0.07014041 0.90559628 0.00773333 0.00719983]
1710,6,17,4.0,[0.282 0.294 0.528 0.492 0.205 0.128],0.12697056862911155,[0.00399988 0.00373333 0.0967162  0.88328394 0.0064     0.00586665]
1711,6,17,8.0,[0.206 0.239 0.45  0.544 0.184 0.086],0.0696500896585115,[0.0032     0.0032     0.1570708  0.82639587 0.00613333 0.004     ]
1712,6,18,0.0625,[0.474 0.404 0.317 0.453 0.34  0.365],0.2810118174188185,[0.25952229 0.16451408 0.13718894 0.18952802 0.10865962 0.14058705]
1713,6,18,0.125,[0.487 0.486 0.34  0.34  0.362 0.396],0.08321683339098859,[0.33142364 0.15528124 0.14110373 0.11612362 0.09478009 0.16128769]
1714,6,18,0.25,[0.508 0.486 0.404 0.446 0.471 0.367],0.12649169834965485,[0.3711085  0.12602171 0.1128277  0.10020996 0.14747658 0.14235555]
1715,6,18,0.5,[0.435 0.564 0.367 0.526 0.491 0.45 ],0.041971610557153996,[0.42039276 0.15147376 0.02646578 0.10793584 0.17633484 0.11739702]
1716,6,18,1.0,[0.313 0.532 0.368 0.522 0.475 0.41 ],-0.02892959026852609,[0.3161704  0.07548166 0.10380283 0.36777243 0.05995755 0.07681514]
1717,6,18,2.0,[0.324 0.286 0.4   0.567 0.22  0.195],0.18717414296001125,[0.00479999 0.00426654 0.060126   0.91587467 0.00773331 0.00719948]
